State,County,City,Date,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
Arizona,Maricopa,Phoenix,1/1/2006,32.708333,0.012,0.875,1.054167
Arizona,Maricopa,Phoenix,1/2/2006,28.166667,0.012917,1.125,0.445833
Arizona,Maricopa,Phoenix,1/3/2006,31.666667,0.010292,0.708333,0.529167
Arizona,Maricopa,Phoenix,1/4/2006,43.578947,0.004542,2.727273,1.252174
Arizona,Maricopa,Phoenix,1/5/2006,40.666667,0.01375,3.583333,1.391667
Arizona,Maricopa,Phoenix,1/6/2006,25.041667,0.018,1.25,0.65
Arizona,Maricopa,Phoenix,1/7/2006,34.458333,0.009458,2.125,0.829167
Arizona,Maricopa,Phoenix,1/8/2006,38.833333,0.008042,2.875,1.4
Arizona,Maricopa,Phoenix,1/9/2006,40.26087,0.010375,4.318182,1.552174
Arizona,Maricopa,Phoenix,1/10/2006,46.391304,0.007625,6.809524,1.986957
Arizona,Maricopa,Phoenix,1/11/2006,41.958333,0.005792,3.956522,1.4125
Arizona,Maricopa,Phoenix,1/12/2006,39.333333,0.00625,2.708333,1.083333
Arizona,Maricopa,Phoenix,1/13/2006,43.541667,0.006333,4.291667,1.641667
Arizona,Maricopa,Phoenix,1/14/2006,46.75,0.007958,4.875,1.7
Arizona,Maricopa,Phoenix,1/15/2006,19.666667,0.024458,0.583333,0.425
Arizona,Maricopa,Phoenix,1/16/2006,21.166667,0.014833,0,0.254167
Arizona,Maricopa,Phoenix,1/17/2006,38.666667,0.004917,2.583333,1.129167
Arizona,Maricopa,Phoenix,1/18/2006,35.6,0.005292,3.363636,0.913043
Arizona,Maricopa,Phoenix,1/19/2006,28.083333,0.014375,1,0.516667
Arizona,Maricopa,Phoenix,1/20/2006,40.041667,0.0075,2.75,1.141667
Arizona,Maricopa,Phoenix,1/21/2006,39.875,0.0105,3.041667,1.558333
Arizona,Maricopa,Phoenix,1/22/2006,36.333333,0.009542,2.375,1.279167
Arizona,Maricopa,Phoenix,1/23/2006,37.227273,0.018389,3.545455,1.173913
Arizona,Maricopa,Phoenix,1/24/2006,18.791667,0.024125,0.125,0.216667
